區域,機關/單位,服務時間及員額,服務內容,聯絡方式與窗口,備註,新增日期
將軍區,忠嘉里辦公處,"例假日、寒暑假課餘時間(服務時 間:早上8-12時,下午13-17時)",1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:黃聰惠里長 電話:0936371374,公家機關,
將軍區,巷埔里辦公處,"寒暑假及課餘時間(早上8-12時, 下午13-17時)",1.環保志工 2.社區關懷工作,聯絡人:吳武宗里長 電話:0932759757,公家機關,
將軍區,苓仔寮里辦公處,"例假日、寒暑假課餘時間(服務時 間:早上8-12時,下午13-17時)",1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:黃信升里長 電話:0928392978,公家機關,
將軍區,將軍里辦公處,"例假日、寒暑假課餘時間(服務時 間:早上8-12時,下午13-17時)",1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:吳儒益里長 電話:0936370819,公家機關,
將軍區,玉山里辦公處,例假日、寒暑假及課餘時間 (服務時間:早上8-12時 下午13- 17時),1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作 5.活動中心打掃,聯絡人:邱家和里長 電話:0929147826,公家機關,
將軍區,廣山里辦公處,例假日、寒暑假及課餘時間 (服務時間:早上8-12時 下午13- 17時),1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作 5.活動中心打掃,聯絡人:吳泰源里長 電話:0932715237,公家機關,
將軍區,平沙里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時),1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人:吳志凱里長 電話:06-7930420,公家機關,
將軍區,長沙里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時),1.環保志工 2.登革熱巡檢 3.社區環境整理 4.社區關懷工作,聯絡人 : 陳啓瑜里長 電話:0911580909,公家機關,
將軍區,鯤鯓里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時),1.環境清潔 2.送餐服務 3.關懷訪視,聯絡人 : 王燕宗里長 電話: 0921283692,公家機關,
將軍區,鯤溟里辦公處,例假日、寒暑假及課餘時間(服務 時間:早上8-12時 下午13-17時),1.環境清潔 2.送餐服務 3.關懷訪視,聯絡人:周吉明里長 電話: 06-7920385,公家機關,
善化區,善化區光文里辦公處,"寒暑假週一至週日: 上午8:30至12:00,下午1:30至 5:30 每時段各5人 2.平時週六日 上午9:00至12:00,下午2:00至 6:00 每時段各5人",1.里內環境清掃 2.里內活動協助 3.里內社區服務 4.資料整理,聯絡人:廖宛崢里長 電話:0937325926,公家機關,
新市區,台南市南科扶輪社,"1.平時例假日,每日以不超過5人 (按個別活動需求訂定) 上午8:00-12:00,下午2:00-5:00 2.寒暑假的週一~週五,每日以不 超過10(按個別活動需求訂定) 上午8:00-12:00,下午1:30-5:30",1.社區服務活動之協助(文書處 理、宣傳、場地布置、引導接待) 2.社區服務活動之參與(慈善機構 募款活動、慈善機構與受扶助者共 同遊戲聊天) 3.由本社社友帶領協助服務學習,聯絡人:廖主任林士勳 電話:0920-664-223 執行秘書:林秀芬 手機:0988-566751,人民團體,
七股區,戶政事務所,電洽,便民服務,"王珮禎,電話:(06)7872127#13",,2012/10/15
大內區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"陳小姐,電話:(06)5761259",,2012/10/15
山上區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"汪小姐,電話:(06)5781204",,2012/10/15
中西區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"陳玫伶,電話:(06)2232609",,2012/10/15
仁德區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"余美鈴,電話:(06)2704430",,2012/10/15
北區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"吳秀芳,電話:(06)2219303",102年1月起無提供服務機會,2012/10/15
左鎮區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"凃秀坽,電話:(06)5731201",,2012/10/15
永康區,戶政事務所,電洽,服務臺引導、奉茶服務及協助環境 整理,"張小姐,電話: (06)2326734#215",,2012/10/15
玉井區,戶政事務所,電洽,服務臺引導民眾、協助民眾辦理案 件,"簡宴玉,電話:(06)5742474#11",,2012/10/15
白河區,戶政事務所,電洽,引導民眾辦理戶籍登記,"李先生,電話:6852314",,2012/10/15
安平區,戶政事務所,電洽,協助民眾戶政業務簡易諮詢,"林逸弘先生,電話:2953155",,2012/10/15
安定區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"郭雨函,電話:(06)5922228",104年7月7日更新聯絡人資訊。,2012/10/15
西港區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"鄧楷澤,電話:(06)7952414",,2012/10/15
佳里區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"方堃壘,電話:(06)7224172",,2012/10/15
東山區,戶政事務所,電洽,協助引導民眾辦理戶籍登記,"楊先生,電話:(06)6801154",,2012/10/15
東區,戶政事務所,電洽,引導民眾至受理櫃台,"陳小姐,電話:3351559#58",限暑假,2012/10/15
南化區,戶政事務所,電洽,引導招呼民眾,"鍾淑騰,電話:5771164",,2012/10/15
南區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"楊淑惠,電話:(06)2913702",,2012/10/15
後壁區,戶政事務所,電洽,引導民眾辦理戶籍登記及代填書表,"林茂仁先生,電話: (06)6872859",,2012/10/15
柳營區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"吳錦松,電話:(06)6220744",,2012/10/15
將軍區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"吳暖惠,電話:(06)7944198#16",,2012/10/15
善化區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"吳秋芳,電話:(06)5817445",,2012/10/15
新化區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"錢淡尊,電話:(06)5903978",,2012/10/15
新市區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"康芬綉,電話:(06)5993582",,2012/10/15
新營區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"吳虹慧,電話: (06)6323470#132",,2012/10/15
楠西區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"陳春梅,電話:(06)5751082",,2012/10/15
龍崎區,戶政事務所,電洽,服務臺引導民眾及協助民眾辦理案 件,"田家玉,電話:(06)5941182",,2012/10/15
關廟區,戶政事務所,電洽,服務台引導民眾及協助民眾辦理案 件,"郭嘉文,電話:(06)5952062",,2012/10/15
七股區,華山基金會愛心天使七股站,電洽,到宅訪視、活動、行政,"鄭傑隆,電話:待來函更新",,2012/10/15
下營區,華山基金會愛心天使下營站,電洽,到宅訪視、活動、行政,"陳宛輿,電話:(06)6895741",113.11.21確認寒暑假白天皆有 提供,2012/10/15
山上區,華山基金會愛心天使山上站,"寒暑假,人數不限",行政業務、活動義工、到宅服務,黃亭菀 06-5901611,113.11.21確認寒暑假白天皆有 提供,2012/10/15
中西區,華山基金會愛心天使中西區站,電洽,到宅訪視、活動、行政,"吳品儀,電話:(06)2500062",113.11.21確認寒暑假白天皆有 提供,2012/10/15
白河區,華山基金會愛心天使白河站,電洽,到宅訪視、活動、行政,"石揚業,電話:(06)6858101",113.11.21確認寒暑假白天皆有 提供,2012/10/15
安定區,華山基金會愛心天使安定站,電洽,到宅訪視、活動、行政,"周伯豪,電話:(06)7959313",113.11.21確認寒暑假白天皆有 提供,2012/10/15
西港區,華山基金會愛心天使西港站,電洽,到宅訪視、活動、行政,"周伯豪,電話:(06)7959313",113.11.21確認寒暑假白天皆有 提供,2012/10/15
佳里區,華山基金會愛心天使佳里站,電洽,到宅訪視、活動、行政,"黃郁晴,電話:(06)7227473",113.11.21確認寒暑假白天皆有 提供,2012/10/15
柳營區,華山基金會愛心天使柳營站,電洽,到宅訪視、活動、行政,"陳姝伊,電話:待來函更新",,2012/10/15
善化區,華山基金會愛心天使善化站,電洽,到宅訪視、活動、行政,"劉啟宏,電話:(06)5851040",113.11.21確認寒暑假白天皆有 提供,2012/10/15
關廟區,華山基金會愛心天使關廟站,電洽,到宅訪視、活動、行政,"高晴怡,電話:(06)5955093",113.11.21確認寒暑假白天皆有 提供,2012/10/15
北區,市立圖書館總館,電洽,圖書整理、圖書預約查詢、讀者諮 詢、借還書、編目,"推廣組,電話:2255146#123",112/7/4更新:目前暫不接受國 中生服務學習申請。,2012/10/15
安平區,安平區圖書館,電洽,圖書整理、圖書預約查詢、讀者諮 詢、借還書、編目,"賴小姐,電話:06-2996281分機 501","112/6/15更新聯絡人資訊, 112/7/4更新內容,辦理時間– 學期中–週二至週五18:00- 20:00;週六至週日9:00-12:00 ,14:00-17:00,18:00-20:00。 寒暑假–週六日9:00-12:00, 14:00-17:00,18:00-20:00。以 上每時段2名。服務項目:圖書 上架、書架整理、業務協助、環 境清潔。",2012/10/15
安南區,安南圖書館 土城圖書館,電洽,圖書整理、圖書預約查詢、讀者諮 詢、借還書、編目,"安南圖書館:陳小姐,電話: (06)2255146#600 土城圖書館:翁小姐,電話: (06)2255146#620",,2012/10/15
東區,林森圖書館 裕文圖書館,電洽,圖書整理、圖書預約查詢、讀者諮 詢、借還書,"林森圖書館:陳小姐,電話: (06)2088431#301 裕文圖書館:陳小姐,電話: (06)3311492#326","112/06/13民眾來信反應裕文圖 書館只接受高中以上服務學習, 112/06/16變更林森圖書館聯絡 資訊,112/06/16變更裕文圖書 館聯絡資訊。112/7/4更新:林 森圖書館於星期六日09:00- 12:00,14:00-17:00受理國中生 服務學習。",2012/10/15
南區,喜樹圖書館,電洽,圖書整理、圖書預約查詢、讀者諮 詢、借還書、編目,"劉小姐,電話:2255146#400","112/7/4更新:僅寒暑假受理服 務學習,寒暑假時間9:00-12:00 ,13:00-16:00,每時段8人,服 務項目:館室清潔、圖書上架、 整架、圖書分類、電腦檢索、期 刊整理、活動協助",2012/10/15
後壁區,圖書館,電洽,協助圖書館整理圖書、環境清潔,"沈小姐,電話:6872284#861",,2012/10/15
新化區,圖書館,電洽,"協助館員處理圖書館業務,例如排 書.整理環境等","唐月玲,電話: (06)5905009#315",,2012/10/15
學甲區,圖書館,電洽,協助借還書及圖書上架整理。,"陳妙芬,電話:7832100#53",,2012/10/15
玉井區,地政事務所,電洽,協助服務台工作事宜,"顏酉純,電話: (06)5745117#208",,2012/10/15
永康區,社教中心,電洽,協助社教中心相關業務(含圖書 館),"江小姐,電話: (06)2029666#118","112/7/4更新:因館區工程,暫 無受理服務學習申請。",2012/10/15
全區,環保局,電洽,協助淨灘,"環衛科陳先生,電話: (06)2086630#401",詳細區域請電洽,2012/10/15
全區,環保局,電洽,協助淨灘,"水土科莊雅雯小姐,電話: 6572916#329",詳細區域請電洽,2012/10/15
西港區,區公所,電洽,藝文活動、圖書館業務、區公所業 務,電話:7956916,,2012/10/15
佳里區,蕭壠文化園區,電洽,1. 圖書上架2. 環境清潔維護,"詹宜穎小姐,電話: (06)7228488",,2012/10/15
東山區,衛生所,電洽,1.協助無菸農場闖關遊戲 2.協助篩檢設站引導 3.協助環境、園藝整理,"陳小姐,電話:(06)6802618",,2012/10/15
東區,市立文化中心,電洽,協助藝術推廣、展場看管及秩序維 護、卸佈展、開幕茶會、受理申辦 借閱證、整理圖書資料、親子活 動、文書資料建檔等,"林雪霞小姐,電話: (06)2692864#506",,2012/10/15
東區,衛生局林森辦公室,星期1~5(寒暑假)/依業務需求酌酙,文書電腦繕打、公文遞送、協助表 格之彙整及資料整理、隨機業務之 協助。,"張小姐,電話: (06)2679751#393",,2012/10/15
南化區,區公所民政課,電洽,協助區里業務資理整理與區內導覽 介紹,"羅小姐,電話: (06)5771513#102",,2012/10/15
南化區,區公所民政課,電洽,協助本區各里環境綠美化工作,"林先生,電話: (06)5771513#103",,2012/10/15
南化區,區公所民政課,電洽,協助圖書館館藏整理與藝文活動,"沈小姐,電話:(06)5771247",,2012/10/15
南化區,區公所行政課,電洽,協助服務台民眾電話詢問與引導民 眾洽詢業務,"張先生,電話: (06)5771513#129",,2012/10/15
麻豆區,總爺藝文中心,電洽,1.館室導覽服務2.營隊課輔,"黃進益先生,電話: (06)5718123",,2012/10/15
新化區,衛生所,電洽,協助文書資料整理及環境、園藝整 理,"蔡慧津,電話:5906025",,2012/10/15
新營區,新營文化中心,電洽,協助展覽圖書演藝推廣,"湯瑞彬先生,電話: (06)6334673",每年5月報名(僅暑期志工),2012/10/15
新營區,衛生局東興辦公室,星期1~5(寒暑假)/依業務需求酌酙,文書電腦繕打、公文遞送、協助表 格之彙整及資料整理、隨機業務之 協助。,"張小姐,電話: (06)2679751#393",,2012/10/15
歸仁區,歸仁文化中心,電洽,1.館室導覽服務2.營隊課輔,"謝美玲小姐,電話: (06)3306505#125",,2012/10/15
關廟區,區公所,電洽,櫃台引導與行政庶務協助,"陳麗鳳,電話: (06)5950002#100",,2012/10/15
大內區,區公所民政課(大內圖書館),(暑期)每周二至周日上午9時至11 時下午14至16時,協助整理圖書,"田小姐,電話:5764401",視實際需求而定,2012/12/13
大內區,區公所社會課,(假日)上午9時至11時,協助獨居老人關懷與訪視,"楊小姐,電話:5761001#232",1.視實際需求而定 2.本單位自103年6月5日起不再 提供服務學習機會,2012/12/13
大內區,臺南市南瀛科學教育館,電洽,導覽解說服務、引導諮詢現場服 務、圖書期刊諮詢整理、櫃台服務 等。,電話:5761076#25洽詢。,需先通過本館學生志工培訓,2012/12/13
中西區,永華特殊教育資源中心,電洽,協助特教宣導、中心清潔維護、行 政庶務協助如資料建檔、整理特教 圖書、量表工具、親子活動協助、 輔具整理、研習協助,特教科莊慶文永華特教中心趙敏 泓。電話:2412734,請洽民治永華特教中心趙敏泓 2412734,2012/12/13
仁德區,仁德區圖書館,電洽(周一休館),圖書整理、圖書預約查詢、讀者諮 詢、借還書編目,"楊小姐,電話:2703607",視實際需求而定,2012/12/13
北區,臺南社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,廖真萍,視實際需求而定 114.1.23確認暫無提供,2012/12/13
左鎮區,臺南左鎮化石園區,"半日或全日,詳請電洽",服務台接洽、簡易文書處理、展場 巡視、導覽介紹、其他庶務性工作,"穆翠玲小姐,電話:5732385",視實際需求而定,2012/12/13
永康區,永康社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,羅妙玲主任,視實際需求而定 114.1.23確認暫無提供,2012/12/13
永康區,永康探索教育公園,,,,102年1月起無提供志工機會,2012/12/13
全區,小天使職能治療所,電洽,學習關懷並耐心對待特殊兒童,"蔡幸蓉,電話:0930519746",視實際需求而定 113.11.21起無提供服務學習,2012/12/13
全區,交通部臺灣鐵路管理局高雄運務段中 洲站,電洽,沙崙支線旅客轉乘引導、沙崙支線 (仁德、中洲、長榮大學、沙崙等 站)站場環境整理(不進入月台)。,"林副站長,電話:(06)2667191",視實際需求而定,2012/12/13
全區,交通部臺灣鐵路管理局高雄運務段隆 田站(含林鳳營站),電洽,隆田站及林鳳營站站場環境整理; 非管制性可交付之客運業務(不進 入月台)。,"陳站長,電話:(06)5791664",視實際需求而定,2012/12/13
全區,家庭教育中心,8:00~17:30,"中心活動辦理支援協助(視活動規 模,人數不限)","林小姐,電話:6591068#9",視實際需求而定,2012/12/13
全區,財團法人伊甸社會福利基金會,電洽,校園身障宣導活動志工,"王韻如,電話:(06)2146990",視實際需求而定 114.1.23確認即日起無提供,2012/12/13
全區,創世社會福利基金會,電洽,協助義賣活動,"台南分會杜先生,電話: (06)2601655#17、義工組,電 話:(06)2601655#20",視實際需求而定,2012/12/13
全區,慈濟大灣環保站,電洽,資源分類、愛心環保常識,"翟文棋,電話: (06)2932323#502",視實際需求而定,2012/12/13
全區,慈濟和緯環保站,電洽,資源分類、愛心環保常識,"翟文棋,電話: (06)2932323#502",視實際需求而定,2012/12/13
安平區,台南市安平兒童福利服務中心(含勝 利館、成功館等各館),每週六、日 上午9:00-12:00 下午14:00-17:00 (寒暑假週二至週日),兒童館館內設施維護&秩序管理、 親子活動支援、營會活動支援、大 型活動支援,"陳鈺娟,電話: (06)2999381#217",,2012/12/13
安平區,瑞復益智中心,電洽,攤位事務協助、整理發票,"黃文珍,電話:(06)3911531",視實際需求而定 113.12.12確認即日起僅提供寒 暑假服務學習,2012/12/13
佳里區,北門社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,"柳秀慧主任,電話: (06)7236483",視實際需求而定,2012/12/13
東區,交通部公路總局嘉義區監理所臺南監 理站,電洽,引導取號、接待及協助身障人士,"葉小敏,電話: (06)2696678#501",視實際需求而定,2012/12/13
東區,莊敬里活動中心圖書館,電洽,登記借還書籍、整理書架書籍,"林榮德,電話:(06)2355566",視實際需求而定,2012/12/13
南區,台南市體育局,電洽,運動賽會志工服務,"沈老師,電話: (06)2157691#223",視實際需求而定,2012/12/13
南區,台南市體育局,電洽,環境清潔協助,"陳惠珍,電話: (06)2157691#217",視實際需求而定,2012/12/13
南區,家庭扶助中心,電洽,學童伴讀、配合活動,"蔣詩儀小姐,電話: (06)2506782",視實際需求而定,2012/12/13
後壁區,區公所民政課,電洽,協助區里業務資料整理與區內導覽 介紹,"呂小姐,電話:6872284#509",視實際需求而定,2012/12/13
後壁區,區公所民政課,電洽,協助本區各里綠美化工作,"陳小姐,電話:6872284#502",視實際需求而定,2012/12/13
後壁區,區公所秘書室,電洽,協助服務台民眾電話諮詢與引導民 眾洽詢業務,"蔡小姐,電話:6872284#852",視實際需求而定,2012/12/13
麻豆區,曾文社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,"陳淑敏執行秘書,電話: (06)5703122",視實際需求而定,2012/12/13
善化區,善化區圖書館,電洽,登記借還書籍、整理書架書籍,(06)5810299,視實際需求而定,2012/12/13
新化區,新化社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,"郭昭男主任,電話: (06)5905880",視實際需求而定,2012/12/13
新營區,民治特殊教育資源中心,電洽(填寫申請表),協助特教宣導、中心清潔維護、行 政庶務協助如資料建檔、整理特教 圖書、量表工具、親子活動協助、 輔具整理、研習協助等,特教科莊慶文、特教中心陳雅 臻。電話:6337740,填寫申請表請洽民治特教中心陳 雅臻6337740 視實際需求而定,2012/12/13
新營區,華山基金會愛心天使新營站,電洽,到宅訪視、活動、行政,"蔡佩倫,電話:(06)6328645",113.12.12.確認寒暑假白天有提 供服務學習機會,2012/12/13
新營區,新營社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,"張文彬主任,電話: (06)6326927",視實際需求而定,2012/12/13
楠西區,市立圖書館分館,"週六、週日,每次3-5人,每次4-6 小時",圖書整理、環境打掃,"江忻嬪小姐,電話: (06)5754056",視實際需求而定,2012/12/13
楠西區,楠西區衛生所,"每年2次,每次8-10人,每次6小時",協助健康檢查資料整理、民眾排隊 秩序、發放宣導資料,"朱秋瑾小姐,電話: (06)5751006",視實際需求而定,2012/12/13
歸仁區,南關社區大學,視社區大學需求作調整,視社區大學服務需求作調整分配~ 如服務教育、校外社區服務等,"陳巧倫主任,電話: (06)3301213",視實際需求而定,2012/12/13
七股區,中寮社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"許全田,電話:06-7800566",社區關懷照顧據點,2013/3/4
七股區,竹港社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"郭信忠,電話:06-7891696",社區關懷照顧據點,2013/3/4
七股區,竹橋社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"張志龍主任,電話: (06)7895427、0937-341869",社區關懷照顧據點,2013/3/4
七股區,西寮里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"柯勝強里長,電話:06-7800808",社區關懷照顧據點,2013/3/4
七股區,後港里,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蘇龍標,電話:06-7941567",107年起里鄰調整,2013/3/4
七股區,看坪社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"張智祥里長,電話: (06)7896105、0920-298837",社區關懷照顧據點,2013/3/4
七股區,頂山社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳博靜里長,電話:0911744688",社區關懷照顧據點,2013/3/4
七股區,樹林社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"黃寶田里長,電話: (06)7893422",社區關懷照顧據點,2013/3/4
七股區,篤加社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"白雪玉主任,電話: (06)7873772、0934-057618",社區關懷照顧據點,2013/3/4
七股區,龍山社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"王聖華主任,電話: (06)7875061",社區關懷照顧據點,2013/3/4
下營區,下營社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳錄星理事長,電話: (06)6792971",社區關懷照顧據點,2013/3/4
下營區,下營區公所民政課,電洽,協助區里業務資料整理、環境綠美 化工作及社區環境清潔打掃,"莊小姐,電話: (06)6892104#122",視實際需求而定,2013/3/4
下營區,大屯社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"洪清吉理事長,電話: (06)6898121",社區關懷照顧據點,2013/3/4
下營區,中營社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"楊清田理事長,電話: (06)6893608",社區關懷照顧據點,2013/3/4
下營區,戶政事務所,電洽,引導民眾辦理戶籍登記及代填書表,"沈先生,電話:(06)6892480",視實際需求而定,2013/3/4
下營區,甲中社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"顏財盈理事長,電話: (06)6899827",社區關懷照顧據點,2013/3/4
下營區,西連社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳清城理事長,電話: (06)6793325",社區關懷照顧據點,2013/3/4
下營區,賀建社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"周金葉理事長,電話: (06)6893721",社區關懷照顧據點,2013/3/4
大內區,大內社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"林清元,電話:(06)5762879",社區關懷照顧據點,2013/3/4
大內區,石子瀨社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"郭守義理事長,電話: (06)5761341",社區關懷照顧據點,2013/3/4
大內區,頭社社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"羅文宗理事長,電話: (06)5765578",社區關懷照顧據點,2013/3/4
大內區,環湖社區,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李承中理事長,電話: (06)5760165",社區關懷照顧據點,2013/3/4
山上區,山上社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李海石理事長,電話: (06)5784506",,2013/3/4
山上區,平陽里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"董振錫里長,電話:06-5782726",,2013/3/4
山上區,玉峰里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"陳啟瑞里長,電話: (06)5782668",,2013/3/4
山上區,明和里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"田財益里長,電話: (06)5781580",,2013/3/4
山上區,南洲里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李振家里長,電話: (06)5782045",,2013/3/4
山上區,豐德里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"李明良里長,電話: (06)5782235",,2013/3/4
中西區,大涼社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"戴玉蘭理事長,電話: (06)2971056",,2013/3/4
中西區,文和社區社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"楊玉鴦總幹事,電話: 0936952292",112/8/28更新聯絡電話,2013/3/4
中西區,小西門里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"曾俊仁里長,電話: (06)2137694",107年起里鄰調整,2013/3/4
中西區,民生里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡銘順里長,電話: (06)2219882、0910-820093",107年起里鄰調整,2013/3/4
中西區,南廠里社區關懷照顧據點,電洽,關懷訪視、電話問安、協助文書整 理、活動規劃,"蔡銘順里長,電話: (06)2219882、0910-820093",107年起里鄰調整,2013/3/4
中西區,光賢里社區關懷照顧據點,●週日:06:30-08:30 ●週二、五:08:00-17:00,關懷訪視、電話問安、協助文書整 理、活動規劃,,,2013/3/4
